"","CCM_skill_MonthlyMean","CCM_skill_RawData","StandardizedLinkageStrength_MonthlyMean","StandardizedLinkageStrength_RawData"
"Sh",0.226079200265233,0.235587028521159,0.400523895345903,0.583374396906386
"Sh",0.194254670755525,0.142688622140845,0.333983624880316,0.353333922539553
"Sh",0.479612168664484,0.368121822841998,0.828897062281525,0.911564816350837
"Sh",0.354017850693924,0.259910541759297,0.612212561493313,0.643605704865128
"Sh",0.438556179728402,0.348308257349126,0.772786816930322,0.862501305118805
"Sh",0.357051671728446,0.209951308683521,0.614645625472692,0.519893726118096
"Ib_a",0.550499559006886,0.463156008731193,0.743620084559467,0.752229645848787
"Ib_a",0.689031212423245,0.615710921906814,0.939161257051089,1
"Ib_a",0.374977202649242,0.166121485827155,0.507204559488031,0.269804351224902
"Ib_a",0.350195139538522,0.360908245417818,0.474434980198642,0.586165085881716
"Ib_a",0.412043362900844,0.49968618879843,0.562037970521618,0.811559728794376
"Ib_a",0.253982539176025,0.182000265392341,0.347650091831735,0.295593693268748
"Ib_a",0.240192447039553,0.142445366904655,0.326601560782418,0.231351047766883
"Ib_a",0.14631555534627,0.0632798653597951,0.199076348665956,0.102775284810316
"Ib_a",0.574522025952132,0.523054747099644,0.782375816629541,0.849513511112942
"Ib_a",0.518329513244955,0.593960395624535,0.706127422810985,0.964674126268673
"Ib_a",0.128590002878466,0.102701924515489,0.177330060552044,0.166802180798463
"Ib_a",0.166919254824906,0.159106221837076,0.226611827175062,0.258410588761907
"Ib_b",0.460028566066562,0.375490196714056,0.646821465033001,0.550553933768456
"Ib_b",0.707590743726326,0.682022547988867,1,1
"Ib_b",0.589134377607681,0.285772829642682,0.831698973270205,0.419007891286532
"Ib_b",0.244790997708312,0.297167415951809,0.347402534086358,0.435714943484038
"Ib_b",0.224607288127495,0.261182237307489,0.319351105297763,0.382952496332647
"Ib_b",0.196286798155528,0.186535738886244,0.27647611925796,0.27350377115287
"Ib_b",0.218896175750891,0.104042012325704,0.308277038064558,0.152549226755774
"Ib_b",0.110683477016767,0.105675905607922,0.156786816686092,0.154944885502006
"Ib_b",0.599825324013843,0.505268875759535,0.849226956174797,0.740838960895738
"Ib_b",0.366788086396407,0.430736043325766,0.525850720107644,0.631556895876699
"Ib_b",0.0733472288326625,0.108576435724136,0.102439942427491,0.159197721606572
"Ib_b",0.190167592799432,0.139439672845955,0.269042026645199,0.20445023886253
"Ib_c",0.40702616105914,0.470705676200246,0.603670095279893,0.991191768701573
"Ib_c",0.352292683619087,0.474888604872954,0.580303590537944,1
"Ib_c",0.487907551397224,0.172190983587149,0.742589279019041,0.362592367600008
"Ib_c",0.275097334827882,0.281831638013166,0.456467978817952,0.593468942234492
"Ib_c",0.276494186504816,0.246118744105696,0.445296006890575,0.518266266194236
"Ib_c",0.165711656222767,0.182446717807472,0.259368713443839,0.384188451639689
"Ib_c",0.221776542504382,0.0987429016824511,0.357989889050555,0.207928555600671
"Ib_c",0.161741074031328,0.0683549588165752,0.266768637931649,0.143938932446825
"Ib_c",0.403517127860808,0.39095355858783,0.688295440457549,0.823253189434649
"Ib_c",0.272021543902258,0.215134025452703,0.418656353191641,0.453019978254178
"Ib_c",0.23912342072119,0.165767850830624,0.373982638510009,0.349066810889201
"Ib_c",0.31795913131101,0.109435404418967,0.499029190274978,0.230444367997088
