"system","BD->EF","Temp->EF","NO3->EF","PO4->EF","EF->BD","Temp->BD","NO3->BD","PO4->BD"
"Gv",0.276484603440212,0.238146764899877,0.453451585691224,0.40265704018172,0.262470392369258,1,0.171635015993225,0.702113609107954
"Gv",0.281802607033827,0.523582345742758,0.616901588456468,0.31390116634506,0.291474329199797,1,0.480204730935779,0.814026555759404
"Gv",0.505985038869401,0.258328848340344,0.71744120376254,0.451212175362611,0.256569121961349,0.969369851767805,0.544040392235165,0.959205166870849
"Gv",0.168751561004996,0.376824058788817,0.350752450204374,0.323776314995851,0.383224464166172,1,0,0.688306770171812
"Gv",0.728913999996431,0.35035505777045,0.386283447792901,0.655460798634615,0.581111409459155,0.914765424268634,0.267648814306888,0.949741912551255
"Gv",0.349926301471319,0.417465978687245,0.442135186021428,0.418990537767517,0.522603076801252,1,0.124277329123331,0.524974884722998
"Gv",0.300487480989529,0.276963628563877,0.632782920298744,0.382248394317942,0.0732058327129761,1,0.158848218817062,0.956207806855326
"Gv",0.16814511592185,0.251929313762041,0.498977016540239,0.38501482517684,0.343551488045621,1,0.339424093987051,0.791928003547059
"Gv",0.454857756801969,0.440131052809788,0.610378484102922,0.235128772831739,0.326578022485453,1,0.223243632310312,0.699666046693575
"Gv",0.409402554680067,0.186652147496073,0.394640980287678,0.236148071499736,0.494167065747009,1,0.105980363714561,0.329802125973402
"Gv",0.226996575376806,0.239839338222535,0.403848855821521,0.28643647988419,0.55512897196814,1,0.12953242892067,0.547031336058385
"Gv",0.187877853682615,0.0600406758867028,0.414246452696366,0.165695239981762,0.50700187391461,1,0.383541689735342,0.829814258770583
"Gv",0.388801858460155,0.306352339051361,0.455507232876551,0.423942671836695,0.186676257688557,1,0.361272533769034,0.699149484405451
"Gv",0.474895051115792,0.599532786562181,0.394129690562384,0.194757550798267,0.490000599603495,0.894904353425537,0.257623909726507,0.744436413564439
"Gv",0.291382450880454,0.423765776080515,0.648619436833904,0.228469261769411,0.415119834025862,1,0.167067540089018,0.781165206775714
"Gv",0.388045283081726,0.312344429858745,0.50584500608843,0.325080657639272,0.354206244024274,1,0.235385497598484,0.82559550387298
"Gv",0.279719277597926,0.489081271203242,0.557692572556175,0.418389426132023,0.396740323234128,1,0.183351157243767,0.731957055372674
"Gv",0.412561663009316,0.191485409159039,0.506048565170994,0.310446535140589,0.27746822232643,1,0.311467086711086,0.786213036588318
"Gv",0.418555414709739,0.477711635161664,0.658274827290946,0.338331051410242,0.352705188615828,1,0.263572992587002,0.771381929498594
"Gv",0.536741261555221,0.387546244350359,0.478520259434652,0.197728700119227,0.358779332178193,1,0.242863776476527,0.776612941398333
"Gv",0.398427003634425,0.497404517373783,0.527384603484381,0.55289431727721,0.50088627796557,1,0.114211893608742,0.847491089863093
"Gv",0.494753850569601,0.302229254840362,0.398772895070357,0.316508096220505,0.485656408083774,1,0.255091006671349,0.81690357727592
"Gv",0.390241669230514,0.301935245780055,0.415062133829046,0.365569517924551,0.429724997169478,1,0.316568539432828,0.506808881855263
"Gv",0.390684436665441,0.579179665157364,0.416356748972417,0.456433430376781,0.0201760398845422,1,0.442350380077189,0.793062066506212
"Gv",0.354860303114427,0.282782176226075,0.437523064338036,0.283581216948635,0.39847785240855,1,0.360149684581779,0.759800548469271
"Gv",0.279037672863056,0.2899879141038,0.413250644549422,0.536623691284567,0.498583468757078,1,0.170667138363248,0.764115833812957
"Gv",0.346644864677789,0.348975295696091,0.296919001072711,0.405146183212004,0.357396835045873,1,0.23297946715702,0.825165764095177
"Gv",0.385217022332472,0.236659087178063,0.501740013133511,0.50079152984139,0.426897136108445,1,0.263799359879457,0.78766773155488
"Gv",0.563269853889422,0.102721046729333,0.409689373754229,0.48713763377502,0.282547644872752,0.878131003036261,0.0976896625903365,0.832405355774471
"Gv",0.316411874480216,0.100352814027715,0.499259284053423,0.424802430186941,0.430525522688349,1,0.265491220618243,0.890894269573912
"Gv",0.437518965056091,0.525269473795365,0.470653371047502,0.444277164665735,0.548676800191094,1,0.219061060491713,0.854997556061975
"Gv",0.382699356533097,0.199320368599158,0.351891335077958,0.454867805388462,0.467617135569887,1,0.244012313563057,0.580152161841874
"Gv",0.364068240967048,0.342345624816192,0.606363765506903,0.416328952583927,0.475621205470353,1,0.214638864856198,0.954675351384211
"Gv",0.38933386471223,0.297911675164473,0.49351061977117,0.206696375918623,0.299930435868067,1,0.275315928661482,0.785566402902647
"Gv",0.574545307848801,0.239511727302677,0.344415639981452,0.437620844344762,0.15887585966897,1,0.316372634349509,0.766501168660613
"Gv",0.602376471897178,0.219388086824811,0.70188683066485,0.420898633122558,0,1,0.244134706045088,0.959463040373208
"Gv",0.486186832015593,0.187098422826172,0.610036756442646,0.451673864260324,0.583908689131555,0.864728645915761,0.317975174014337,0.965050732046374
"Gv",0.519845762218941,0.118651941713728,0.577256101514983,0.254503974242861,0.144036408551785,1,0.155286413353618,0.857159590001239
"Gv",0.430532623058403,0.150912673182446,0.688212223836515,0.389617900869982,0.442977397044869,0.970845369815022,0.0889329456214391,0.715803361222058
