"system","BD<->EF","BD<->NO3","BD<->PO4","EF<->NO3","EF<->PO4","Type I-N","Type II-N","Type I-P","Type II-P"
"Gv",0.520456482518352,0.379904484111695,0.917501796145095,0.676345071710226,0.618389606237824,0.496789794019934,0.526395436991726,0.788202450511007,0.562597637076482
"Gv",0.375431644501387,0.352690389679829,0.84492461791853,0.5057931557016,0.372810735710809,0.382168098991182,0.431529544225422,0.522380084845515,0.461216555818524
"Gv",0.232059248306582,0.226262275563471,0.719975254548778,0.63001424340881,0.383051894276765,0.260505277383375,0.395570965619138,0.449228006703136,0.356163343450694
"Gv",0.301398296512442,0.480186206944587,0.887375088505479,0.629624330826804,0.532756722637303,0.488369201403632,0.414641770354326,0.56011748737394,0.48704846360931
"Gv",0.278187220744875,0.385057224801872,0.954340933590165,0.649403242404996,0.430652165010706,0.354020137687766,0.477774870232548,0.509258685596352,0.462565384992273
"Gv",0.397279316625423,0.365047909041545,0.793272924553223,0.483834102873844,0.253519895272612,0.413336897826906,0.411582930781163,0.545105020076931,0.340309109045136
"Gv",0.337128478013706,0.325074986645852,0.744747947986974,0.573670358693587,0.327405394794779,0.349025712291054,0.453005540700547,0.507856586554766,0.372265367501463
"Gv",0.349785671865811,0.372259379365973,0.728749677795147,0.455221255052761,0.403892744877178,0.357822186917732,0.42486034614783,0.524049376813056,0.419171828166188
"Gv",0.335016780927487,0.193227592437745,0.762908342864103,0.567002279608076,0.468976821322384,0.247109524578788,0.446948537827421,0.544752720156547,0.446266337489312
"Gv",0.401360274334598,0.230514931110619,0.841888866437154,0.570324606194129,0.487697646903624,0.280419471510922,0.501682405737513,0.55627434369122,0.540344635474231
"Gv",0.23036817098624,0.322574272591331,0.814446443493428,0.392506130224532,0.489493484918472,0.250222068739463,0.378680974636825,0.36928030095653,0.551228681125496
"Gv",0.35208643709104,0.367521127833898,0.84687677933769,0.430093997839132,0.336011549567143,0.398870670975335,0.365452739406396,0.51282633390197,0.420641546818168
"Gv",0.611622137098362,0.360305400335099,0.910771627721617,0.815062745138778,0.514967582462434,0.509753708460089,0.624505517261566,0.769609037541914,0.565168863486599
"Gv",0.415703951427412,0.338605335180577,0.812095381171579,0.61639416890665,0.444199237929844,0.380438123053391,0.515157804505741,0.558416468415114,0.505461153102556
"Gv",0.307596492116258,0.344062242994488,0.825563302649998,0.531698527433178,0.500771432401715,0.286432447279008,0.512665022366289,0.447058485076466,0.565652694724754
"Gv",0.348231959678648,0.333574468913348,0.799584877224815,0.645754968617227,0.556375410039967,0.320219730024746,0.555441131967167,0.55783265081637,0.517086841891057
"Gv",0.426071076125443,0.485178958548738,0.977061029047767,0.480624309879586,0.542553355926757,0.469134982406818,0.457258735617562,0.61373333380863,0.604297903066914
"Gv",0.204597172788589,0.295122717748989,0.714172036387871,0.506238941993952,0.440899852825784,0.2968887114323,0.329289736785022,0.432087696814915,0.371925864980796
"Gv",0.581817265405412,0.402286428711733,0.941334385251173,0.753112382547333,0.641535093781868,0.481706980010549,0.652636827947889,0.723503858795144,0.688218663257036
"Gv",0.378018923885088,0.344076739565497,0.804924519070608,0.501066512001273,0.367787120192662,0.386575150898221,0.418930733292668,0.56177108188579,0.413381239965095
"Gv",0.40255786872025,0.446542462765316,0.86714581053534,0.644840140630817,0.444146444741451,0.46090608278523,0.51580196449413,0.590137168696677,0.489040460284653
"Gv",0.350938808067629,0.339910481976559,0.92974973661208,0.623978250193389,0.342774185112406,0.36939904932569,0.479013585209371,0.511035603109995,0.454240535655078
"Gv",0.400001503065323,0.30239944109122,0.945482510972634,0.452224096472241,0.508428084412778,0.33607070849666,0.428779035665238,0.615710421506474,0.54106976421193
"Gv",0.416876935851032,0.375946160273263,0.743808355618685,0.650822696686565,0.460650374416922,0.44595516092034,0.489522825336918,0.571703199991698,0.477957861933493
"Gv",0.338719702172499,0.360156358917719,0.752030936010892,0.472029812697137,0.380384795615952,0.354034958310345,0.421199489076302,0.525791021777801,0.401223513848117
"Gv",0.346375806523176,0.466397827270428,0.74094064594605,0.58921467360747,0.538676459840947,0.455820926400018,0.45735927298536,0.556729406990972,0.480243854641691
"Gv",0.407844116158432,0.268249622077096,0.742075311516212,0.629029235186087,0.563161552563487,0.342337187349493,0.490548579187971,0.576042928893979,0.533656665234539
"Gv",0.553591026000195,0.370712984174086,0.717197097713179,0.623046322751516,0.463132726260788,0.471288823934957,0.538531332439911,0.649907751305386,0.497550278304283
"Gv",0.355049961772021,0.200418372855358,0.871652311799787,0.523190697301652,0.455062662388599,0.258797598423854,0.4308218967339,0.555873469497894,0.486960079803435
"Gv",0.354842102220395,0.281424621295763,0.673936133652921,0.48569891236586,0.387213188510517,0.350663113855127,0.379273784231302,0.512653590345535,0.399250388818611
"Gv",0.373545890825398,0.389845107804568,0.949084338148149,0.553431691179669,0.425634262951309,0.45260316215975,0.412239054884035,0.608703513717672,0.465640869828581
"Gv",0.363723972220419,0.3147956559195,0.859546880813394,0.533809070356692,0.418745054633505,0.293366514686762,0.528908478204621,0.466341225505237,0.552870792217183
"Gv",0.438397938120584,0.398286833957552,0.829537086247708,0.480612393251989,0.535271417211298,0.379529487374754,0.505041913696964,0.623705472889964,0.538525187280361
"Gv",0.278795553884659,0.281555785443088,0.792727034736706,0.61275530668182,0.320056897355592,0.308971545037486,0.42806176280119,0.489407985651538,0.349478195346209
"Gv",0.450991062246149,0.260016298421006,0.765138006613415,0.534162507489602,0.432706687702061,0.359229863750385,0.439058280317754,0.637960160873173,0.441171368632831
"Gv",0.198174281485921,0.329073464218552,0.762486601968584,0.585667964870116,0.409927049661151,0.226548640481733,0.500610117844154,0.333345280680221,0.469637837532144
"Gv",0.418457359637686,0.270098985151345,0.886934918606402,0.50014603509387,0.421460165926482,0.337136393530409,0.436892938622832,0.645045235403413,0.450065952786038
"Gv",0.354145588906897,0.465273652166282,0.822297357484435,0.585790932810238,0.383484362793395,0.419641807749922,0.501429497484917,0.504458385020352,0.459706081145801
"Gv",0.410727362332917,0.376290101634893,0.757875284414801,0.457575951998547,0.566138483224854,0.403849849442285,0.423454243767728,0.603727483081236,0.520645067778694
"Gv",0.355305644259116,0.221911203195236,0.857581892717003,0.587739837706887,0.541477900885094,0.375728753697678,0.34337595242252,0.628548919192172,0.478593225213363
"Gv",0.360063991326539,0.365427668328299,0.782666942735135,0.456784424663864,0.461632420627885,0.335579737212459,0.457227707728883,0.488140301834916,0.525965579987305
"Gv",0.201295275470848,0.409343153343353,0.733231164695188,0.610079012365953,0.498404835062773,0.280163276659599,0.486176082950526,0.397540373514228,0.44162798721161
"Gv",0.398246316083903,0.303129661162858,0.692273901678501,0.455198033652408,0.453420890644593,0.307588661450132,0.469912210534677,0.541437822460744,0.461748589684123
"Gv",0,0.390338724651087,0.684486566938366,0.429860818353956,0.356827839202027,0.334638432008152,0,0.457727532368035,0
"Gv",0.352097142637464,0.314438786645347,0.687943159097597,0.513964900551746,0.34557505024452,0.299928530421226,0.493253606805866,0.416569863944921,0.459357109987026
"Gv",0.444733977822007,0.245614857983605,0.883791466126024,0.568594601988157,0.360465286664978,0.321288437161199,0.488138830386629,0.547747149658189,0.496168187466014
"Gv",0.429628627913294,0.371490823070105,0.985196203071815,0.582782017771491,0.515461806323546,0.411816144097849,0.498495905505813,0.680938030601878,0.532231651793166
"Gv",0.549353449666867,0.437997381352855,0.970736250013493,0.704146722534373,0.533834073676558,0.453657682148141,0.674936246502384,0.626984486669531,0.690212469200335
"Gv",0.40872657952113,0.402717600624849,0.956091086658037,0.419038799067412,0.517852947207047,0.383253096033979,0.438839939731517,0.595615895524179,0.57870795931321
"Gv",0.362444907607554,0.334885118801833,0.815945224743275,0.454190310553484,0.437974331355845,0.341807665075345,0.423775013890311,0.532008547095999,0.481189158822856
"Gv",0.328717226698539,0.33848810419136,0.892142054347441,0.651855539353659,0.485368131264307,0.345693291077138,0.503099484380618,0.443831023148137,0.614234444818109
"Gv",0.279211954188075,0.415070377409751,0.860714708735409,0.584322674540058,0.489793963604584,0.349818139660309,0.474930432535798,0.586476321400427,0.409531480859111
"Gv",0.485602521402263,0.411693937958189,0.886499348995772,0.665589667743045,0.524787716156531,0.390638374544845,0.667215940851001,0.603900916428897,0.614228062875214
"Gv",0.20100935428012,0.322816027818553,0.748296997573884,0.592349444686168,0.564858728753445,0.302283359787774,0.376777813620526,0.571729533796167,0.338035867009419
"Gv",0.370460318742194,0.317102650790886,0.65863874204591,0.384182543672685,0.371134730729335,0.32128303103237,0.394546633851023,0.474134240312728,0.42531665664322
"Gv",0.423694282526785,0.567303560146492,0.962639870379123,0.711405655567564,0.601463739437553,0.486294758111433,0.633515671172415,0.640252565241193,0.612067432891055
"Gv",0.387314385499535,0.276195225161438,0.843532120556273,0.423334129900047,0.391688162050719,0.347417201702789,0.365699247777368,0.58967778608086,0.43064793057589
"Gv",0,0.171388994873115,0.596502133722461,0.52835844118862,0.450323087649131,0.255848411619338,0,0.498758123235814,0
"Gv",0.234515598847499,0.30944134856571,0.756772407878368,0.594551073885884,0.451579977262742,0.301026476947518,0.408653104807254,0.440595727170783,0.421898051904439
"Gv",0.12606850238781,0.269794966428343,0.894320493714324,0.598431910164457,0.610317870328884,0.304586559843267,0.244751888093061,0.686681407990301,0.244539274695217
"Gv",0,0.380922172727074,0.73510747456411,0.541643161445835,0.462863749113531,0.367158694271908,0,0.559609681691185,0
"Gv",0.403583302894881,0.326649269663512,0.663292395527534,0.541496022970917,0.451283652926592,0.392238977274018,0.438721940642762,0.477017278463827,0.51230008759869
"Gv",0.386989551225393,0.492160487788054,0.791950801117179,0.661466982965441,0.352078219869078,0.554186821422275,0.453474888229098,0.654503195901936,0.34629479404426
"Gv",0.362032545618567,0.389991387470992,0.772580044984764,0.559874042219435,0.460527342471787,0.406695445949475,0.452889931641801,0.537191245610494,0.474790572935029
"Gv",0,0.250465585834771,0.924385139723554,0.447929026441343,0.546223699175195,0.339721622293146,0,0.594597391000194,0
"Gv",0.215194585920358,0.402532979704061,0.781542579630818,0.550230587448845,0.467887334209629,0.343866656179727,0.382291779929774,0.507983349846379,0.361493676558609
"Gv",0.581229558943864,0.327258620832546,0.858194451762746,0.575289989726216,0.385481195633878,0.416876224157992,0.548794744651271,0.628352264017712,0.530177399666531
"Gv",0.325851589898751,0.333921515982462,0.642531097109816,0.518254939279832,0.425709168389945,0.35610086135356,0.41295123971943,0.483487191895989,0.412698628797404
"Gv",0.448859302018616,0.277759365090327,0.82744827927134,0.465606997204133,0.417419817780265,0.298040899118613,0.503025221583988,0.497329448271676,0.580281321767073
"Gv",0.337376042771795,0.0308014901485695,0.93584671656879,0.458242849348439,0.484953305696086,0.0850983578757528,0.332608438424188,0.645786359855035,0.443190445286386
"Gv",0.479541369268587,0,0.901977327867896,0.586786507887168,0.358655683759322,0,0.493462517415031,0.556040803713439,0.519229807611088
"Gv",0.422385650726205,0.327267869446403,0.778952553976454,0.70258469103643,0.466202927355792,0.405917511001885,0.520518718050331,0.541377392837153,0.5292936156172
"Gv",0.472272720380819,0.396041055000462,0.765152283127171,0.63077492417512,0.627950517630071,0.451890522497394,0.532318745250633,0.576086974261604,0.645787129741454
"Gv",0.284895534324847,0.48679393663238,0.938823687440275,0.677346811670461,0.507647049755862,0.425342232580349,0.485835697701442,0.536004785191116,0.492854846110003
