"","NO3->EF","BD->EF","PO4->EF","Temp->EF","NO3->BD","EF->BD","PO4->BD","Temp->BD","BD<->EF","BD<->NO3","BD<->PO4","NO3<->EF","PO4<->EF","Type I-N","Type II-N","Type I-P","Type II-P"
"Ib_a",0.964674126,0.752229646,0.258410589,0.102775285,0.849513511,0.586165086,0.166802181,0.231351048,0.664026170522924,0.921690572263816,0.212141354266653,0.884811094115502,0.276377532214207,0.80342820651934,0.826926403467296,0.333489714967772,0.344450167756769
"Ib_b",0.631556896,0.550553934,0.204450239,0.154944886,0.740838961,0.435714943,0.159197722,0.152549227,0.489780130233185,0.860720024746723,0.258273308236109,0.491788866983803,0.236469683782829,0.538546072364416,0.650436611543092,0.288336759069727,0.334198189650858
"Ib_c",0.453019978,0.991191769,0.230444368,0.143938932,0.823253189,0.593468942,0.349066811,0.207928556,0.766969054439316,0.907333008878218,0.355765318139217,0.484546150971672,0.297546744250443,0.750610583094779,0.645414101847289,0.510352426496829,0.367390214300602
"Vo",0.64433075,1,0.633379299,0.135943794,0.490310289,0.759754787,0.42304187,0.100686108,0.871639138061159,0.431973377988667,0.477782166778036,0.550060195702354,0.435060278998229,0.612906455459108,0.571138917190046,0.501887198898225,0.637976393859798
"Od",0.330648189,0.528311111,0.59537282,0.68555794,0.630128698,0.612288811,0.469467626,0.516644627,0.568752127022202,0.607536305515597,0.685177076382449,0.334913606200672,0.651544021943593,0.483362342681784,0.491299016453265,0.561303787489212,0.714356678298879
"Mg",1,0.92467521,0.253346957,0.329039681,0.797429977,0.55536948,0.494809926,0.454694455,0.716614534144118,0.818147960126152,0.519427844309081,0.861805614393408,0.374189928134103,0.818151008608002,0.775385577376264,0.632361427131116,0.424916162548284
"Kn",0.722548312,0.986720134,0.528455293,0.485401564,0.739091021,0.787795086,0.975126057,0.97419926,0.881665057049706,0.77602765343718,0.9027066644133,0.850028418348469,0.585005740871452,0.900113562328216,0.774067575053573,0.854126609003239,0.703317383595289
"Wd",0.081085172,0.897054248,0.96191917,0.230606964,0.842187136,1,0.728373662,0.776084863,0.947129477949029,0.506502884001604,0.850522441106116,0.201304116315539,0.683646885090866,0.722764910441149,0.291227396646284,0.682180571347275,0.984884494434984
"Min.",0.081085172,0.198865392,0.204450239,0.10066666,0.167760188,0.172360636,0.159197722,0.100686108,0.185139313608724,0.178736867163723,0.207566229765454,0.201304116315539,0.236469683782829,0.267947572802999,0.291227396646284,0.200896918940808,0.29258154675941
"1st Qu.",0.452178085,0.522953389,0.3472437185,0.149441909,0.5602194935,0.436099035,0.361598963,0.219639802,0.440155579265633,0.475077779778561,0.335930761579186,0.427504241778714,0.380457987416368,0.475830579437365,0.479786327196723,0.47849045388885,0.396153188424443
"Median",0.643605705,0.657797689,0.575555636,0.353333923,0.747741188,0.612288811,0.469467626,0.395374836,0.644643531383008,0.77602765343718,0.519427844309081,0.550060195702354,0.52797078793717,0.662393229053164,0.612120644565839,0.557461473026424,0.551272445665886
"Mean",0.611251212684211,0.663419856578947,0.545830781210526,0.380864528210526,0.672609737052632,0.572487887210526,0.541370315,0.442430149684211,0.612508558732303,0.67475770897301,0.565140129976905,0.580532695885655,0.524061836545656,0.611832111107342,0.592756436023478,0.548992722870084,0.554167706137514
"3rd Qu.",0.726443059,0.910864729,0.6820299795,0.4338317095,0.8458503235,0.664733076,0.800801815,0.5965783715,0.741791794291717,0.863115361849252,0.793306374371995,0.765397416948092,0.667595453517229,0.77046686982575,0.757560219234308,0.667707419170405,0.696670609317216
